id,name,description_sale
scenario.product_142066,"PD2 S MAX NME KNX","Rilevatore di presenza KNX, senza coperchio colorato"
scenario.product_142070,"PD2 S 360 NMU KNX","Rilevatore di presenza KNX, senza coperchio colorato"
scenario.product_142049,"PD2 S MAX NMU KNX","Rilevatore di presenza KNX, senza coperchio colorato"
scenario.product_142014,"PD2 S 360 NMU Dimm","Rilevatore di presenza Dimm 1-10V, senza coperchio colorato"
scenario.product_142088,"LABOR PM","Pannello di cablaggio rilevatori di presenza"
scenario.product_142337,"PD9 CF","Rilevatore di presenza Eco21, bianco"
scenario.product_142094,"PD9 S 360 Slave/W","Rilevatore di presenza Slave, bianco"
scenario.product_142015,"PD2 S 360 NMU Master 1C","Rilevatore di presenza 1 canale, senza coperchio colorato"
scenario.product_142019,"PD2 S MAX NMU Master 1C","Rilevatore di presenza 1 canale, senza coperchio colorato"
scenario.product_142053,"PD2 S 360 NME Master 1C","Rilevatore di presenza 1 canale, senza coperchio colorato"
scenario.product_142059,"PD2 S MAX NME Master 1C","Rilevatore di presenza 1 canale, senza coperchio colorato"
scenario.product_142342,"PD3 S 360 AP Micro","Rilevatore di movimento 10A, microfono, bianco"
scenario.product_142343,"PD3 S 360 AP 24V","Rilevatore di movimento 24V, bianco"
scenario.product_142345,"PD2 S 360 AP Master 1C/W","Rilevatore di presenza 1 canale, bianco"
scenario.product_142346,"PD2 S 360 AP Master 2C/W","Rilevatore di presenza 2 canale, bianco"
scenario.product_142106,"Indoor 180 C Kombi 2L EDI/B","Rilevatore di movimento 10A, 2L schema 0, design EDIZIOdue, marrone"
scenario.product_141924,"PD2 S 180 CM KNX EDI/W","Rilevatore di presenza KNX, design EDIZIOdue, bianco"
scenario.product_142321,"PD3 S 360 AP","Rilevatore di movimento 10A, bianco"
scenario.product_142540,"AC-PD9 180","Maschere ad innesto PD9 180°"
scenario.product_142495,"PD9 S1 360 Slave IP65","Rilevatore di presenza Slave, opale"
scenario.product_142497,"PD9 S1 360 LC IP65","Rilevatore di movimento 10A, opale"
scenario.product_142169,"PD2 S 180 C Slave KAL/S","Rilevatore di presenza Slave, design Kallysto, nero"
scenario.product_142177,"PD2 S 180 C Slave KAL/HG","Rilevatore di presenza Slave, design Kallysto, grigio chiaro"
scenario.product_141729,"BP EDI","Placca di fissaggio"
scenario.product_142332,"CS G PD9/W","Coperchio colorato Ø 45 mm, bianco"
scenario.product_142333,"Swisslux trasparenti di progettazione a scala 1:50","Rilevatori di movimento e di presenza BEG Luxomat"
scenario.product_141522,"Color RAL NCS","Colore speciale opaco o lucido"
scenario.product_141659,"AH-180-SS/WM","Calotta di protezione per rilevatore 180°, inclusi anti sabotaggio, bianco-opaco"
scenario.product_142323,"RC-HU","Filtro RC per montaggio su barra DIN"
scenario.product_141752,"PD9 360 KNX","Rilevatore di presenza KNX, bianco"
scenario.product_141657,"FA-FL-500","Zoccolo R7S"
scenario.product_142325,"PD2 MAX DE Dimm","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_142334,"Swisslux trasparenti di progettazione a scala 1:100","Rilevatori di movimento e di presenza BEG Luxomat"
scenario.product_142339,"LC 180 Mini/W","Rilevatore di movimento 10A, bianco"
scenario.product_141625,"APG S/S","Scatola AP per rilevatori 360°, nero"
scenario.product_141492,"APG PD 8M/W","Scatola AP per rilevatori 360°-8m, bianco"
scenario.product_141626,"APG S/DG","Scatola AP per rilevatori 360°, grigio scuro"
scenario.product_141627,"APG S/HG","Scatola AP per rilevatori 360°, grigio chiaro"
scenario.product_141991,"APG S/B","Scatola AP per rilevatori 360°, marrone"
scenario.product_141992,"APG S/BE","Scatola AP per rilevatori 360°, beige"
scenario.product_141993,"APG S/SI","Scatola AP per rilevatori 360°, argento"
scenario.product_142347,"PD2 S 360 AP Slave/W","Rilevatore di presenza Slave, bianco"
scenario.product_142349,"PD2 S 360 AP Dimm/W","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_142350,"PD2 S 360 AP DALI-DSI/W","Rilevatore di presenza Dimm DALI-DSI, bianco"
scenario.product_142351,"PD2 S MAX AP Master 1C/W","Rilevatore di presenza 1 canale, bianco"
scenario.product_142352,"PD2 S MAX AP Master 2C/W","Rilevatore di presenza 2 canale, bianco"
scenario.product_142353,"PD2 S MAX AP Duo/W","Rilevatore di presenza 2x luce, bianco"
scenario.product_142354,"PD2 S MAX AP Slave/W","Rilevatore di presenza Slave, bianco"
scenario.product_142355,"PD2 S MAX AP DUO-DALI/W","Rilevatore di presenza Dimm 2 x DALI-DSI, bianco"
scenario.product_142356,"PD9 S 360 DALI-DSI/W","Rilevatore di presenza Dimm DALI-DSI, bianco"
scenario.product_142358,"PD2 S MAX AP KORRIDOR/W","Rilevatore di presenza 1 canale, bianco"
scenario.product_142157,"PD2 S 180 C 12-48V KAL/B","Rilevatore di presenza 12V-24V-48V, design Kallysto, marrone"
scenario.product_142154,"Indoor 180 C Kombi 2L KAL/B","Rilevatore di movimento 10A, 2L schema 0, design Kallysto, marrone"
scenario.product_142155,"Indoor 180 C Kombi KAL/B","Rilevatore di movimento 10A, design Kallysto, marrone"
scenario.product_142156,"Indoor 180 C Minuterie KAL/B","Rilevatore di movimento per minuterie, 2 fili, design Kallysto, marrone"
scenario.product_142165,"PD2 S 180 C 12-48V KAL/S","Rilevatore di presenza 12V-24V-48V, design Kallysto, nero"
scenario.product_142563,"PD2 S 360 UP DS/W","Rilevatore di presenza digitalSTROM, bianco"
scenario.product_142163,"Indoor 180 C Kombi KAL/S","Rilevatore di movimento 10A, design Kallysto, nero"
