id,name,categ_id/id,purchase_ok,sale_ok,type,product_manager/id,property_account_income_id,property_account_expense_id,receipt_checklist,supplier_taxes_id,taxes_id,description_purchase
product_template_sa_SA-Sponsoring(Beispielartikel),SA/MA - Sponsoring,product_category_sa_Sponsoring,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Werbeeinträge(Beispielartikel),SA/MA - Werbeeinträge,product_category_sa_Werbeeinträge,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Werbedrucksachen(Beispielartikel),SA/MA - Werbedrucksachen,product_category_sa_Werbedrucksachen,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Inserate(Beispielartikel),SA/MA - Inserate,product_category_sa_Inserate,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-PublikationeninFachzeitschriften(Beispielartikel),SA/MA - Publikationen in Fachzeitschriften,product_category_sa_PublikationeninFachzeitschriften,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Reklameartikel/Muster(Beispielartikel),SA/MA - Reklameartikel / Muster,product_category_sa_Reklameartikel/Muster,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Übersetzungen(Beispielartikel),SA/MA - Übersetzungen,product_category_sa_Übersetzungen,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Versand-undVerpackungsspesenfürWerbeversände(Beispielartikel),SA/MA - Versand- und Verpackungsspesen für Werbeversände,product_category_sa_Versand-undVerpackungsspesenfürWerbeversände,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Werbedrucksachen/Werbematerial(Beispielartikel),SA/MA - Werbedrucksachen / Werbematerial,product_category_sa_Werbedrucksachen/Werbematerial,True,False,consu,scenario.res_users_mgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-BeratungsdienstleistungIS(Beispielartikel),SA/IS - Beratungsdienstleistung IS,product_category_sa_BeratungsdienstleistungIS,True,False,consu,scenario.res_users_rgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Schulung/Erstausbildung(Beispielartikel),SA/IS - Schulung / Erstausbildung,product_category_sa_Schulung/Erstausbildung,True,False,consu,scenario.res_users_rgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-AnschaffungIS(Beispielartikel),SA/IS - Anschaffung IS,product_category_sa_AnschaffungIS,True,False,consu,scenario.res_users_rgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
