id,type,name,parent_id/id,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
product_category_sa_ForschungundEntwicklungBEG,normal,Forschung und Entwicklung BEG,product_category_sa_Entwicklung,6721,6721,6721,6721,6721
product_category_sa_ForschungundEntwicklungLEUCHTEN,normal,Forschung und Entwicklung LEUCHTEN,product_category_sa_Entwicklung,6720,6720,6720,6720,6720
product_category_sa_Produktprüfungen(CEPrüfungen),normal,Produktprüfungen (CE Prüfungen ...),product_category_sa_Entwicklung,6720,6720,6720,6720,6720
product_category_sa_Verkauf,view,SA/VK - Verkauf,scenario.product_category_sa_EKDIV,,,,,
product_category_sa_KleininvestitionenVerkauf,normal,Kleininvestitionen Verkauf,product_category_sa_Verkauf,6611,6611,6611,6611,6611
product_category_sa_Kundenpflege,view,Kundenpflege,product_category_sa_Verkauf,,,,,
product_category_sa_Übernachtungsspesen,normal,Übernachtungsspesen,product_category_sa_Verkauf,5084,5084,5084,5084,5084
product_category_sa_Unterhalt/ReparaturenFahrzeuge,normal,"Unterhalt, Reparaturen Fahrzeuge",product_category_sa_Verkauf,6200,6200,6200,6200,6200
product_category_sa_Kundenanlässe,normal,Kundenanlässe,product_category_sa_Kundenpflege,6670,6670,6670,6670,6670
product_category_sa_Kundenspesen,normal,Kundenspesen,product_category_sa_Kundenpflege,6641,6641,6641,6641,6641
product_category_sa_all,view,SA/ALLE -  Abteilungen,scenario.product_category_sa_EKDIV,,,,,
product_category_sa_Aus-undWeiterbildung/Seminare(inklAn-/Rückreise/Übernachtungetc),normal,"Aus- und Weiterbildung, Seminare (inkl. An-/Rückreise, Übernachtung etc.)",product_category_sa_all,5081,5081,5081,5081,5081
product_category_sa_Reisespesen,normal,Reisespesen,product_category_sa_all,5082,5082,5082,5082,5082
product_category_sa_EKPM,view,Einkaufspreisminderungen,product_category_sa_all,,,,,
product_category_sa_EPMSkonti,normal,Skonti,product_category_sa_EKPM,4900,4900,4900,4900,4900
product_category_sa_Rabatte/PreisnachlässeD,normal,"Rabatte, Preisnachlässe Diverse",product_category_sa_EKPM,4901,4901,4901,4901,4901
product_category_sa_EPMRückvergütungen,normal,Rückvergütungen,product_category_sa_EKPM,4902,4902,4902,4902,4902
product_category_sa_EPMEinkaufsprovisionen,normal,Einkaufsprovisionen,product_category_sa_EKPM,4903,4903,4903,4903,4903
