id,name,parent_id/id,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
product_category_sa_KleininvestitionenIT,Kleininvestitionen IT,product_category_sa_IT,6574,6574,6574,6574,6574
product_category_sa_Papier/Couverts/Etiketten/â€¦,"Papier, Couverts, Etiketten, â€¦",product_category_sa_IT,6501,6501,6501,6501,6501
product_category_sa_Infrastrukturintern,Infrastruktur intern,product_category_sa_IT,1522,1522,1522,1522,1522
product_category_sa_Security,Security,product_category_sa_IT,1524,1524,1524,1524,1524
product_category_sa_TelekommunikationTelefon,Telekommunikation Telefon,product_category_sa_IT,6510,6510,6510,6510,6510
product_category_sa_TelekommunikationInternet,Telekommunikation Internet,product_category_sa_IT,6512,6512,6512,6512,6512
product_category_sa_SupportIT,Support IT,product_category_sa_IT,6571,6571,6571,6571,6571
product_category_sa_BeschaffungDivers,Beschaffung Divers,product_category_sa_Nst,6574,6574,6574,6574,6574
product_category_sa_Hardware,Hardware,product_category_sa_Nst,1520,1520,1520,1520,1520
product_category_sa_HardwareKleininvestitionen,Hardware Kleininvestitionen,product_category_sa_Nst,6574,6574,6574,6574,6574
product_category_sa_Software,Software,product_category_sa_Nst,1521,1521,1521,1521,1521
product_category_sa_SoftwareKleininvestitionen,Software Kleininvestitionen,product_category_sa_Nst,6570,6570,6570,6570,6570
product_category_sa_SchulungNst,Schulung Nst,product_category_sa_Nst,6582,6582,6582,6582,6582
product_category_sa_Produktmanagement,SA/PM - Produktmanagement,__setup__.product_category_sa_EKDIV,,,,,
product_category_sa_AnschaffungenPM,Anschaffungen PM,product_category_sa_Produktmanagement,,,,,
product_category_sa_Entwicklung,Entwicklung,product_category_sa_Produktmanagement,,,,,
product_category_sa_Unterhalt/ReparaturenPM,"Unterhalt, Reparaturen PM",product_category_sa_Produktmanagement,6104,6104,6104,6104,6104
product_category_sa_KleininvestitionenPM,Kleininvestitionen PM,product_category_sa_AnschaffungenPM,6005,6005,6005,6005,6005
product_category_sa_Werkzeuge/Tools,"Werkzeuge, Tools",product_category_sa_AnschaffungenPM,6005,6005,6005,6005,6005
product_category_sa_ForschungundEntwicklungBEG,Forschung und Entwicklung BEG,product_category_sa_Entwicklung,6721,6721,6721,6721,6721
product_category_sa_ForschungundEntwicklungLEUCHTEN,Forschung und Entwicklung LEUCHTEN,product_category_sa_Entwicklung,6720,6720,6720,6720,6720
product_category_sa_Produktprüfungen(CEPrüfungen),Produktprüfungen (CE Prüfungen ...),product_category_sa_Entwicklung,6720,6720,6720,6720,6720
product_category_sa_Verkauf,SA/VK - Verkauf,__setup__.product_category_sa_EKDIV,,,,,
product_category_sa_KleininvestitionenVerkauf,Kleininvestitionen Verkauf,product_category_sa_Verkauf,6611,6611,6611,6611,6611
product_category_sa_Kundenpflege,Kundenpflege,product_category_sa_Verkauf,,,,,
product_category_sa_Übernachtungsspesen,Übernachtungsspesen,product_category_sa_Verkauf,5084,5084,5084,5084,5084
product_category_sa_Unterhalt/ReparaturenFahrzeuge,"Unterhalt, Reparaturen Fahrzeuge",product_category_sa_Verkauf,6200,6200,6200,6200,6200
product_category_sa_Kundenanlässe,Kundenanlässe,product_category_sa_Kundenpflege,6670,6670,6670,6670,6670
product_category_sa_Kundenspesen,Kundenspesen,product_category_sa_Kundenpflege,6641,6641,6641,6641,6641
product_category_sa_all,SA/ALLE -  Abteilungen,__setup__.product_category_sa_EKDIV,,,,,
product_category_sa_Aus-undWeiterbildung/Seminare(inklAn-/Rückreise/Übernachtungetc),"Aus- und Weiterbildung, Seminare (inkl. An-/Rückreise, Übernachtung etc.)",product_category_sa_all,5081,5081,5081,5081,5081
product_category_sa_Reisespesen,Reisespesen,product_category_sa_all,5082,5082,5082,5082,5082
product_category_sa_EKPM,Einkaufspreisminderungen,product_category_sa_all,,,,,
product_category_sa_EPMSkonti,Skonti,product_category_sa_EKPM,4900,4900,4900,4900,4900
product_category_sa_Rabatte/PreisnachlässeD,"Rabatte, Preisnachlässe Diverse",product_category_sa_EKPM,4901,4901,4901,4901,4901
product_category_sa_EPMRückvergütungen,Rückvergütungen,product_category_sa_EKPM,4902,4902,4902,4902,4902
product_category_sa_EPMEinkaufsprovisionen,Einkaufsprovisionen,product_category_sa_EKPM,4903,4903,4903,4903,4903
