id,product_tmpl_id:id,product_uom:id,product_qty,active,routing_id/id,bom_line_ids/product_id/id,bom_line_ids/product_uom/id,bom_line_ids/product_qty
scenario.bom_151168,scenario.product_151168_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141722,product.product_uom_unit,1
scenario.bom_151168,scenario.product_151168_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151169,scenario.product_151169_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151169,scenario.product_151169_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151169,scenario.product_151169_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141723,product.product_uom_unit,1
scenario.bom_151170,scenario.product_151170_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151170,scenario.product_151170_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141724,product.product_uom_unit,1
scenario.bom_151170,scenario.product_151170_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151171,scenario.product_151171_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141725,product.product_uom_unit,1
scenario.bom_151171,scenario.product_151171_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151171,scenario.product_151171_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151172,scenario.product_151172_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151172,scenario.product_151172_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151172,scenario.product_151172_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141719,product.product_uom_unit,1
scenario.bom_151172,scenario.product_151172_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151173,scenario.product_151173_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151173,scenario.product_151173_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151173,scenario.product_151173_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141725,product.product_uom_unit,1
scenario.bom_151173,scenario.product_151173_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151174,scenario.product_151174_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151174,scenario.product_151174_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151174,scenario.product_151174_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151174,scenario.product_151174_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141720,product.product_uom_unit,1
scenario.bom_151175,scenario.product_151175_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
